stream_offset,frame_id,message_type,payload_length,report,record_index,target_num,cluster_id,x_m,y_m,z_m,dop_idx,speed_m_s,area0,area1,area2,area3,detected
5782,4733,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
5807,4734,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
5840,4735,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
5865,4736,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
5898,4737,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
5923,4738,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
5956,4739,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
5981,4740,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
6014,4741,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
6039,4742,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
6072,4743,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
6097,4744,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
6130,4745,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
6155,4746,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
6188,4747,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
6213,4748,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
6246,4749,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
6271,4750,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
6304,4751,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
6329,4752,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
6362,4753,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
6387,4754,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
6420,4755,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
6445,4756,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
6478,4757,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
6503,4758,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
6536,4759,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
6561,4760,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
